total,rank,title,artist,release_date,genre,language,lyrics_clean,source
2,2,t a,blondshell,2025-01-09,rock,english,"intro letting and letting verse 1 we were really friends didn t think about anything else i liked having someone to call but i started taking my shirt off and facing the wall and he said something about it one time i said, if you stop drinking, maybe i could find you attractive maybe i could let you have it and it happened aah verse 2 i asked him why he had these feelings he said, your tits and ass don t really hurt and i think he really meant it and now i m wondering if i should let him chorus letting him in, why don t the good ones love me watching him fall, watching him go right in front of me letting him in, why don t the good ones love me watching him fall, watching him go right in front of me verse 3 i can t tell my sister we re together she knows about that fight, remember when you got scared and changed your voice turned right from a man into a boy bridge you turned back, though stayed mad, though cause i always go back and forth a spinal cord a little pull it s heroin i m giving and taking it off, taking it taking it off, taking it taking it off of the table chorus letting him in, why don t the good ones love me watching him fall, watching him go right in front of me letting him in, why don t the good ones love me watching him fall, watching him go right in front of me outro aah ah aah ah oh eh ehh aah ah aah ah oh eh ehh",https://genius.com/Blondshell-t-a-lyrics
4,4,girl feels good,fka twigs,2025-01-24,"pop,rb",english,"verse 1 i fear the man who finds himself lost in tales of war, delusions of more beautiful boys, i wish you knew how precious you are your mother s, sister s, lover s heart is where there s healing pre chorus when a girl feels good, it makes the world go round when the night feels young, you know she feels pretty a girl feels good, and the world goes round turn your love up loud to keep the devil down chorus when a girl feels good, you ll know when a girl feels good, you ll know when a girl feels good, she s gonna keep you around when a girl feels good, you ll know ooh ooh, ooh ooh da da da verse 2 my city guy your boots on the gas of life hurry up, baby, take your time don t wanna force it, want you to touch it my sweet demis a man that doesn t know his mind it s okay, baby, take your time w re gonna make it, wanna enjoy it pre chorus when a girl feels good, it makes the world go round when the night feels young, you know she feels pretty a girl feels good, and the world goes round turn your love up loud to keep the devil down chorus when a girl feels good, you ll know when a girl feels good, you ll know when a girl feels good, the honeybees to the flowers when a girl feels good, you ll know ooh ooh, ooh ooh outro when a girl feels good, it makes the world go round when the night feels young, you know she feels pretty a girl feels good, and the world goes round turn your love up loud to keep the devil down when a girl feels good, you ll know when a girl feels good, you ll know when a girl feels good, she s gonna keep you around when a girl feels good, you ll know, ah ah, ah ah ah ah, ah ah, ah ah, ah ah",https://genius.com/Fka-twigs-girl-feels-good-lyrics
5,5,sports car,tate mcrae,2025-01-24,pop,english,"intro illegal illegal verse 1 hey, cute jeans jeans take mine off me me oh, golly gee gee i can t take no more i m goin weak in my knees oh where d you put those keys mm we can share one seat seat we can share one seat pre chorus in the alley, in the back in the center of this room with the windows rolled down boy, don t make me choose in the alley, in the back in the cent r of this room with the windows rolled down boy, don t make m choose chorus i think you know what this is i think you wanna uh no, you ain t got no mrs. oh, but you got a sports car we can uh uh in it while you drive it real far yeah, you know what this is yeah, you know what this is verse 2 pretty blue streetlights lights and my hazel eyes eyes and if it feels right right we could go again like three, four times so my type type got butterflies oh so good it hurts hurts thinkin bout what we did before this verse pre chorus on the corner of my bed oh, and maybe on the beach you could do it on your own while you re lookin at me chorus i think you know what this is i think you wanna uh do you no, you ain t got no mrs. oh, but you got a sports car we can uh uh in it we can uh while you drive it real far yeah, you know what this is yeah, you know what this is i think you know what this is oh i think you wanna uh you wanna no, you ain t got no mrs. oh, but you got a sports car we can uh uh in it uh uh, uh uh, mm while you drive it real far yeah, you know what this is yeah, you know what this is bridge oh my guy you don t wanna waste my time mm let s go ride let s go let s go ride come on oh my guy you don t wanna waste my time no let s go ride let s go ride outro i think you wanna, wanna oh but you got a sports car oh while you drive it real far ah yeah, you know what this is",https://genius.com/Tate-mcrae-sports-car-lyrics
7,7,i want you fever,momma,2025-01-29,rock,english,"verse 1 take it apart and build it again i m right on it don t call it a loss, call me instead i m right on it really can t believe you didn t tell her do you think she knows we re back together everyone can see what this is all about we re the talk of the town breakdown pick up and leave her i want you, fever pick up and leave her i want you, fever pick up and leave her i want you, fever pick up and leave her i want you, fever chorus pick up and leave her i want you, fever pick up and leave her i want you, fever pick up and leave her i want you, fever pick up and leave her i want you, fever verse 2 take it apart and tear her to shreds i m right on it you can t play it off, you can t play pretend i m right on it really can t believe she doesn t feel it even i can see that you don t mean it everybody knows that this is going down we re the talk of the town bridge locked and loaded, i m your bullet pull the trigger, don t be shy let her down, it ll feel good i m right on it just be honest breakdown pick up and leave her i want you, fever pick up and leave her i want you, fever pick up and leave her i want you, fever pick up and leave her i want you, fever chorus pick up and leave her i want you, fever pick up and leave her i want you, fever pick up and leave her i want you, fever pick up and leave her i want you, fever",https://genius.com/Momma-i-want-you-fever-lyrics
10,10,but ill keep trying,snow patrol,2025-01-31,rock,english,"verse 1 i guess he s probably just fallin apart thing is, it looked exactly like fallin in love then she said, stop gettin so damn caught up about everything cause this life is too long to live that way and the only thing that matters is you and me today chorus and i won t let you go cause i know that you d love me through everything but i don t know this love cause it won t make no sense to me still and i won t let you go until i understand that maybe i ll never know what it takes to be your man but i ll keep tryin verse 2 oh, the song of you sings in me still thing is, i m pretty certain that it always will chorus and i won t let you go cause i know that you d love me through everything but i don t know this love cause it won t make no sense to me still and i won t let you go until i understand that maybe i ll never know what it takes to be your man but i ll keep tryin bridge oh oh oh, oh oh oh, oh oh oh oh, oh oh oh, oh chorus and i won t let you go cause i know that you d love me through everything oh oh oh, oh oh oh, oh but i don t know this love cause it won t make no sense to me still oh oh oh, oh oh oh, oh and i won t let you go until i understand oh oh oh, oh oh oh, oh that maybe i ll never know what it takes to be your man oh oh oh, oh oh oh but i ll keep tryin",https://genius.com/Snow-patrol-but-ill-keep-trying-lyrics
14,14,never know,the kooks,2025-01-31,rock,english,"verse 1 nothing s ever set in stone you re not like anyone that i met before you win by not playing the game the times are changing but you stay the same pre chorus let s turn around the hourglass freeze it in a photograph i ll tell you everything i used to hide cause i don t wanna waste your time chorus let s do all the things we wanna do because you never know, never know, never know when it s gonna stop never know, never know, never know when it s gonna stop verse 2 so let s go pack up the car drive to the south of france the wind is dancing in your hair singing je ne, regrette rien pre chorus can t take the money when it s time to go so let s blow it like we re movie stars think of all the places we can go chorus because you never know, never know, never know where it s gonna stop never know, never know, never know where it s gonna stop bridge cause you never know, never know, never know when it s gonna stop, never know, never know, never know when it s gonna stop never know, never know, never know when it s gonna stop never know, never know, never know when it s gonna stop pre chorus can t take the money when it s time to go so let s blow it like we re movie stars think of all the places we can go outro because you never know, never know, never know when it s gonna stop never know, never know, never know when it s gonna stop never know, never know, never know when it s gonna stop",https://genius.com/The-kooks-never-know-lyrics
15,15,afraid,2hollis,2025-01-31,"hiphop,other",english,"intro 2hollis ayy, yeah, huh ayy, ayy, ayy, ayy i just love this , let s go chorus 2hollis what do you feel when you re afraid uh, ah does everybody feel the same uh how do you deal with change adjusting to fame i got hit by a plane, uh by a plane what do you feel when you re awake uh i m tryna not make a mistake again yeah, how do you deal with change adjusting to fame i told god i m insane he told me, shut up and laugh and love it post chorus 2hollis i, i love it i got one ques i got one i got one question for you, for you, for you what do you feel when you re af drop 2hollis what do you feel when you re afraid hey, yeah, yeah ayy, ayy, ayy, ayy i just love it , l t s go what do you feel when you re afraid fraid hey, h h h y verse nate sib no need to worry bout a thing, girl, it ll be fine we ll keep it riding on the same road every time can you open your eyes why don t you open your eyes hey, hey, hey well, you know this, i can t control it losing your focus, you re wishing and hoping that it was me, yeah do you feel right when i m gone do you hear me in this song is it wrong is it wrong is it wrong wrong wrong wrong, wr wrong, wrong wr wrong, wrong, wrong wrong, wr wrong, wrong yeah yeah chorus 2hollis what do you feel when you re afraid uh, ah does everybody feel the same uh how do you deal with change adjusting to fame i got hit by a plane, uh by a plane what do you feel when you re awake uh i m tryna not make a mistake again yeah, how do you deal with change adjusting to fame i told god i m insane he told me, shut up and laugh and love it post chorus 2hollis i, i love it i got one ques i got one i got one question for you, for you, for you what do you feel when you re af drop 2hollis what do you feel when you re afraid hey, yeah, yeah ayy, ayy, ayy, ayy i just love it , let s go what do you feel when you re afraid fraid",https://genius.com/2hollis-afraid-lyrics
18,18,blue hour,anna graves,2025-01-31,pop,english,"verse 1 you wake a little early, lonely, somedays takes a little mercy, coffee, most days now you got that funny feeling will it ever go away it might take another minute but it s okay chorus baby, it s your blue hour you gotta hold on and wait for that dawn to break baby, there ll be new flowers you gotta keep going, wait for that sky to change baby, it s your blue baby, it s your blue blue, blue hour verse 2 you had another bad dream, same dream, always mm, running from a shadow, too slow, tough break now you got that funny feeling will you make it out alive it might take another minute but it s alright chorus baby, it s your blue hour you gotta hold on and wait for that dawn to break baby, there ll be new flowers you gotta keep going, wait for that sky to change baby, it s your blue baby, it s your blue blue, blue hour bridge all you gotta do is make it through the blue blue, blue hour blue blue, blue hour blue blue, blue hour",https://genius.com/Anna-graves-blue-hour-lyrics
19,19,coraline,lyn lapid,2025-01-31,pop,english,"verse 1 so i m sipping my cup sick of thinking straight cause i m a sittin duck in a pit of snakes i m in the twilight zone, and there ain t no slipping away pre chorus say i won t do it again and then i do it again hopin for a different outcome hopin there s more to this chorus and now i feel like coraline everywhere i go nothin feels like home oh, i feel like coraline everywhere i go nothin feels like home verse 2 so do i roll the dice cause i bet there s more right on the, the other side of the open door but there s a pric to pay is it more than i can afford pre chorus say i won t do it again no, i won t do it again and then i do it again and again, and again hopin for a differ nt outcome hopin there s more to this chorus and now i feel like coraline everywhere i go nothing feels like home oh, i feel like coraline everywhere i go nothing feels like home bridge nothing feels like home nothing feels like nothing feels like home oh, i feel like nothing feels like home nothing feels like nothing feels like home oh, i feel like chorus coraline everywhere i go nothing feels like home oh, i feel like coraline everywhere i go nothing feels like home outro nothing feels like home nothing feels like nothing feels like home oh, i feel like",https://genius.com/Lyn-lapid-coraline-lyrics
22,22,defenses down,cj starnes,2025-01-31,pop,english,with the same mouth the same breath i say something lovely then i m reckless the same hand the same mind i could kill a man and then i d call you mine well is it pride or is it good how much i want to be understood i was ripping through flesh and calling out death until you came along i guess there s something about you now tearing my defenses down tearing my defenses down young heart old soul i treated kindness like a chokehold all the pain i caused and the love i lost hiding in the fight didn t consider the cost that is it pride or is it good how much i want to be understood i was ripping through flesh and calling out death until you came along i guess there s something about you now well i said it i guess there s something about you now there are lies fed to young men s hearts how your violence can t be kept in art and how your dreams of peace are not the start has death been by your doorstep yet there were times that i wished we d met i know in living that i owe a debt i m coming to grips with it well is it pride or is it good how much i need to be understood i was ripping through flesh and calling out death until you came along i guess there s something about you now well i said it i guess there s something about you now tearing my defenses down,https://genius.com/Cj-starnes-defenses-down-lyrics
